id,name, species, size, age, health_status, location
1,Leo, Lion, Large, 5, Healthy, Savannah
2,Ella, Elephant, Large, 10, Healthy, Forest
3,Gerry, Giraffe, Large, 7, Injured, Savannah
4,Milo, Monkey, Small, 3, Healthy, Jungle
5,Zara, Zebra, Medium, 4, Healthy, Grassland
6,Charlie, Cheetah, Medium, 6, Healthy, Savannah
7,Hugo, Hippo, Large, 12, Healthy, River
8,Bella, Bear, Large, 8, Healthy, Forest
9,Tommy, Tiger, Large, 5, Injured, Jungle
10,Penny, Parrot, Small, 2, Healthy, Jungle
11,Daisy, Deer, Medium, 4, Healthy, Forest
12,Max, Monkey, Small, 3, Healthy, Jungle
13,Lucy, Lioness, Large, 6, Healthy, Savannah
14,Oscar, Ostrich, Medium, 5, Healthy, Grassland
15,Manny, Meerkat, Small, 2, Healthy, Desert
16,Wally, Walrus, Large, 15, Healthy, Coast
17,Sam, Seal, Medium, 7, Injured, Coast),
18,Nina, Nightingale, Small, 1, Healthy, Forest
19,George, Gazelle, Medium, 4, Healthy, Savannah
20,Harry, Hawk, Small, 3, Healthy, Mountains
21,Cathy, Crocodile, Large, 9, Healthy, River
22,Lily, Leopard, Medium, 6, Healthy, Jungle
23,Betty, Buffalo, Large, 11, Healthy, Grassland
24,Eddy, Eagle, Medium, 5, Healthy, Mountains
25,Fred, Flamingo, Medium, 4, Healthy, Wetlands
26,Simon, Snake, Small, 3, Healthy, Desert
27,Ricky, Rhino, Large, 8, Healthy, Grassland
28,Bobby, Baboon, Medium, 6, Healthy, Jungle
29,Katy, Kangaroo, Medium, 7, Healthy, Grassland
30,Danny, Dolphin, Medium, 10, Healthy, Coast
